date,actual_y_h5,lasso_bic_y_h5,lasso_bic_var_count_y_h5,lasso_aic_y_h5,lasso_aic_var_count_y_h5,lasso_cv_y_h5,lasso_cv_var_count_y_h5,lasso_val_y_h5,lasso_val_var_count_y_h5,ridge_cv_y_h5,ridge_val_y_h5
2024-12-02,-8.28612317218258,-8.080385875386886,4,-8.14490573324568,38,-8.14686713441037,37,-8.044486341693688,3,-7.80144774225467,-7.6127893112361695
2024-12-03,-8.152794625419403,-7.84387070812462,4,-7.994480410295553,37,-7.9959947204285875,37,-7.800739090266835,3,-7.616274670606611,-7.525369178796349
2024-12-04,-6.452164940538162,-7.353472511072682,4,-7.278241100903945,37,-7.282697031997257,36,-7.361568986713341,3,-7.211160914471296,-7.335718779320096
2024-12-05,-6.668355412158304,-7.441070786245661,4,-7.402477078787199,39,-7.408116736937391,36,-7.44664578927504,3,-7.024650650364863,-7.207866138967751
2024-12-06,-7.380414836630238,-7.216702544774944,4,-7.072527200365535,37,-7.07552096187702,37,-7.258670565567419,3,-6.875605888369362,-6.952097329520883
2024-12-07,-7.347004798406336,-6.626959109378967,4,-6.4784578680922955,37,-6.479286482748547,36,-6.728885073975741,3,-6.68902967892038,-6.825552693808636
2024-12-08,-7.800269430130499,-7.378410365750077,4,-7.371401701173498,37,-7.3732779700980045,37,-7.3736148672585875,3,-6.871249556717784,-6.943635376651526
2024-12-09,-8.329129180116265,-7.809862189853615,4,-7.733174987779671,37,-7.7357761100842435,37,-7.790285380415323,3,-7.559124933317985,-7.123845735234932
2024-12-10,-7.954173621957407,-7.604164457339661,4,-7.610624582869971,36,-7.613161675367973,36,-7.617223618055932,3,-7.284984153902345,-7.197474756216243
2024-12-11,-7.167863912303163,-7.010991752158245,4,-6.989709810066072,37,-6.992813178279626,36,-7.0385633712564,3,-7.125877204391855,-7.228301304917164
2024-12-12,-7.46114260237137,-7.144481146183009,4,-7.049045696105183,37,-7.053069021465738,36,-7.164277426706412,3,-6.7896225545129525,-7.086574364356721
2024-12-13,-6.653480385951037,-7.402230795677718,4,-7.248635858997435,37,-7.254328122494084,36,-7.41202003819116,3,-7.061996694668553,-7.216109666524672
2024-12-14,-6.215955295754829,-7.421146526625172,4,-7.350607219397799,38,-7.354805876195976,38,-7.424957083890492,3,-7.138153676729627,-7.3087883571767644
2024-12-15,-6.228600657732804,-7.626582221964871,4,-7.57843013710246,38,-7.581438443501612,38,-7.616336474673631,3,-7.297960094651179,-7.3670658981604324
