day,EMA10,EMA30,EMA200,RSI14,MOM10,ROC10,ATR14,BB_WIDTH,OBV,STOCH_K
2025-05-02,96393.20133129084,96442.70556790974,96235.96139349233,57.634141288585006,278.41999999999825,0.0028938331585968147,83.76428571428654,0.004382525181685347,-64346.41189700825,96.80504100566905
2025-05-03,96790.02644298623,96783.41107419609,96949.07675648431,72.34798413747446,216.9600000000064,0.0022443322232357232,62.791428571428696,0.0032705073779837382,-63724.58447700821,96.79669421487526
2025-05-04,95952.98743827711,96097.88195862339,96268.92196656816,12.768811656417839,-310.65000000000873,-0.0032303157411368577,70.65857142857047,0.006433005145636639,-65130.1231170082,22.27607599844971
2025-05-05,94434.25092441282,94840.1025440982,95443.16344250279,24.026058333397373,-478.1399999999994,-0.005046025698068335,161.45214285714297,0.013876944512376206,-66362.45029700815,14.247985372789799
2025-05-06,94854.41251190523,94831.20010324712,94531.946992563,22.353775257000365,-292.7300000000105,-0.0030805120387059626,75.56714285714303,0.005389300173551526,-65810.68815700813,2.260388905337368
2025-05-07,96628.03175607393,96031.3699717269,94862.09811247302,72.08006752683023,668.9499999999971,0.0069562680087478235,190.45214285714403,0.018148558477115894,-64314.798927008094,89.5836088833323
2025-05-08,97108.89952681186,97077.63294679642,96723.99645599202,35.64370537860269,-350.4600000000064,-0.0035988554641482873,81.5614285714307,0.004521245900365569,-62946.30631700814,12.734246043306532
2025-05-09,103057.65680612088,102854.40497581278,100945.10104230096,59.04759593606473,285.320000000007,0.0027707351634764787,181.14214285714323,0.005511209042197316,-55019.76822700812,92.23059591329361
2025-05-10,102936.73738780551,102953.75029706865,102908.17550979213,59.096690390498196,151.10000000000582,0.00146954573141711,52.100714285715576,0.0026471693610924645,-53855.67175700815,96.8308605341267
2025-05-11,104508.01490723393,104055.65765993542,103510.47264232939,71.0351656684715,1112.8199999999924,0.010731488009600332,297.8742857142882,0.02001655046744454,-51759.24976700813,87.61348759862668
2025-05-12,103963.95969672594,103989.39598851027,104116.837674394,70.08813478026268,193.50999999999476,0.0018620250145080508,131.90071428571642,0.004603964758857176,-52097.66585700815,94.53998374733682
2025-05-13,102891.66589560722,102774.83697287197,103064.70823140308,42.805670225141725,-168.7199999999866,-0.0016386940020612917,94.01214285714377,0.004042217614207957,-53785.34533700814,0.002970797067619265
2025-05-14,104137.79492809293,104204.17463556146,103840.42770266549,45.47002269995993,84.41999999999825,0.0008115801586821014,109.46214285714503,0.003525519336084861,-52531.918527008136,56.3326533061326
2025-05-15,103538.0671055647,103519.41789324097,103536.78685305307,54.36773075971394,7.820000000006985,7.555555555560645e-05,81.35999999999642,0.0016986150171005609,-55438.09069700815,59.790404845396786
2025-05-16,103682.86214110456,103552.55613013275,103089.02089900691,57.6219318326342,187.6600000000035,0.0018118088110137265,145.32071428571257,0.005887679532177988,-54633.660617008136,80.38825286212207
2025-05-17,103520.11422614855,103564.826853913,103716.06273772227,51.592233351523255,-205.40000000000873,-0.001981300153468868,77.96428571428467,0.0028873907647737123,-55403.081497008134,19.949057204514016
2025-05-18,103146.52480080682,103131.639717661,103154.55545107422,63.38380265081776,5.970000000001164,5.789333429540022e-05,68.32571428571516,0.0030510263952861967,-56088.24615700816,67.3950414485982
2025-05-19,105932.83556155776,105355.3747682962,104516.55660413232,72.57696942179024,756.8099999999977,0.007160153816388126,275.83500000000225,0.01652125923456348,-53328.63974700815,84.31285836281532
2025-05-20,105566.54329594056,105490.18340375906,104667.47839151458,47.0756266514318,-205.11999999999534,-0.0019391398243466806,91.53857142857201,0.005882953810753727,-52757.19020700807,31.56081405907772
2025-05-21,106822.3871426496,106706.12608363434,105902.60865394375,59.07746444726149,14.85000000000582,0.00013899920943627464,171.44285714285692,0.010611999574067634,-50727.75563700808,46.22096945889695
2025-05-22,109520.48460906271,109050.0083334205,107829.5497087831,68.80480497644663,690.8500000000058,0.00634079935649412,402.1257142857139,0.016198169576261225,-48876.832822008044,46.037204427851066
2025-05-23,111432.74638388256,111248.96685434072,110980.3624469692,76.26897090279434,519.8000000000029,0.004675452283447568,115.76500000000046,0.007476365996313985,-46104.461932008,97.13336046669511
2025-05-24,107378.5425966279,107795.89496806132,109137.96997550948,32.98182837543675,-345.3099999999977,-0.003207304677968703,257.8135714285724,0.015222366774158544,-50475.34720200803,47.18939490503893
2025-05-25,107912.39746934758,108228.25147067624,108646.75103641086,37.44252391340814,41.90000000000873,0.00038897137124305203,269.4585714285723,0.010360631280309913,-49797.36191200807,29.199415811008524
2025-05-26,108848.93254228606,108528.12207401755,107784.71102201362,60.379182555454186,-99.45999999999185,-0.000911610198192192,224.0264285714272,0.008498102177756525,-49147.62654200808,59.47001356480246
2025-05-27,109354.06141276883,109336.49111424644,109362.37950730979,61.50079482230079,109.01999999998952,0.0009972031296920925,107.78071428571378,0.003762815122912763,-48292.93527200809,92.34179075234995
2025-05-28,109009.59768273027,109094.42148360542,109521.5559333738,49.604754486181115,-143.05999999999767,-0.0013114996961438585,103.7735714285726,0.00287986139584116,-48490.26368200807,17.153134250065172
2025-05-29,107792.9734567308,107621.86102206222,107923.61803737792,68.48902360613539,107.5399999999936,0.0009987532765496354,138.54571428571737,0.010652197641773461,-49298.85503200808,60.576532683718995
2025-05-30,105742.79289356899,105950.38255237648,106870.90417476096,31.69622494701005,-471.1100000000006,-0.00444188365057574,167.85285714285732,0.008579766151863422,-52419.56557200808,31.68510779751185
2025-05-31,103981.32981110312,104193.63962944571,104964.59437093402,44.52331213961642,-244.0,-0.002340988365287844,253.1807142857142,0.008487446602700243,-54870.59450200807,52.44316546762531
2025-06-01,104648.9504685902,104689.7661146604,104430.57756471948,42.62451796882586,-136.92999999999302,-0.0013074721272970935,81.43785714285748,0.002533912288934473,-55561.3228020081,32.35550708833332
2025-06-02,105666.05068239103,105554.29309567055,104899.70534832896,64.05357600961295,-139.89000000001397,-0.0013224264582851752,107.55928571428687,0.004595796113268305,-55706.92646200807,50.477580260013475
2025-06-03,105825.08720860064,105540.48631344161,104806.88113639918,66.55314069028546,104.07000000000698,0.0009840769968623153,103.72785714285835,0.0044307539521934065,-55879.879412008,79.36623872798359
2025-06-04,105454.56007765059,105596.56241686213,105681.52611956118,20.10298784503999,-265.1399999999994,-0.0025097965270073352,89.46500000000171,0.007675196828789208,-56824.64347200804,18.169750405610536
