date,actual_y_h1,rf_val_y_h1_pred,rf_val_y_h1_m,rf_cv_y_h1_pred,rf_cv_y_h1_m
2025-01-15,-7.391486709026281,-7.523232555273159,127,-7.369471515250053,170
2025-01-16,-7.511145310148465,-7.984335512097845,127,-7.856345313656261,170
2025-01-17,-7.438401020768668,-7.844302989344902,127,-7.966171060092657,170
2025-01-18,-6.148112404271952,-7.665824422969987,127,-7.762839251937534,170
2025-01-19,-5.214773987217453,-6.785819476242291,127,-6.645291255829943,170
2025-01-20,-6.34915971482197,-6.218956197501406,127,-6.229891440571497,170
2025-01-21,-7.594519813201731,-6.916730963868684,127,-6.9233080683736725,170
2025-01-22,-5.989812005402478,-7.485278743226877,127,-7.570504501749571,170
2025-01-23,-7.355564283258395,-6.730229737091194,127,-6.569582421902636,170
2025-01-24,-8.788612678268954,-7.53486810025577,127,-7.444496871037741,170
2025-01-25,-8.623226788453762,-7.702958969604531,127,-7.822234316449503,170
2025-01-26,-6.548166225847454,-7.180980004258715,127,-7.249461370084224,170
2025-01-27,-7.335119722465245,-6.950988256162715,127,-6.97115672487493,170
2025-01-28,-7.350021545427285,-7.337997503586048,127,-7.29081569182841,170
2025-01-29,-7.86523565131056,-7.064661721683824,127,-7.03236255980328,170
2025-01-30,-7.64515655585875,-7.921089122487522,127,-7.882506651696999,170
2025-01-31,-8.395509658549456,-7.690002351553794,127,-7.675961827217386,170
2025-02-01,-7.035755186208709,-7.6980402787169195,127,-7.583128614242559,170
2025-02-02,-5.95199845728886,-7.110583570687262,127,-7.022914852934076,170
2025-02-03,-6.579587906443687,-6.64615603430586,127,-6.728138839220691,170
2025-02-04,-7.222214210843608,-6.996519634546117,127,-7.076392302987641,170
2025-02-05,-7.456911400328808,-7.3659255094515705,127,-7.362360630284588,170
2025-02-06,-7.097257483150888,-7.797661539967193,127,-7.778738458004702,170
2025-02-07,-8.810076811866075,-7.4288504434378,127,-7.406634713807681,170
2025-02-08,-8.10773415201615,-7.916960045271987,127,-7.940908476780063,170
2025-02-09,-7.786812840962016,-7.3154751612279965,127,-7.398700904801445,170
2025-02-10,-8.095685364957285,-7.5031622536660905,127,-7.368792149674104,170
2025-02-11,-6.962691557561749,-7.778170231522171,127,-7.921516745188003,170
